index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
NA,My Clone Sleeps Alone,Pat Benatar,Pat Benatar,My Clone Sleeps Alone,In The Heat Of The Night,5,1979-01-01,spotify:track:05XisbzzpAlfISLZHZAVdZ,NA
364,"My My, Hey Hey (Out of the Blue) - 2016 Remaster",Neil Young,Neil Young,"My My, Hey Hey (Out of the Blue) - 2016 Remaster",Rust Never Sleeps,1,1979-06-27,spotify:track:6VltRkmJbCTqgKrTHk4Ulw,-364
189,Mystery Achievement - 2006 Remaster,Pretenders,Pretenders,Mystery Achievement - 2006 Remaster,Pretenders,12,1980-01-11,spotify:track:2xTk109VtSva8rmQvb2Esn,-189
86,Narcissus,City Boy,City Boy,Narcissus,City Boy/Dinner at the Ritz,3,2015-07-31,spotify:track:63uEjKy3FUP6umIR4WBBFL,-86
293,New Values,Iggy Pop,Iggy Pop,New Values,New Values,2,1979-09-01,spotify:track:5LmqBIugWpgE9OA8jFk4i3,-293
NA,Night Moves,Bob Seger,Bob Seger,Night Moves,Night Moves,2,1976-10-22,spotify:track:6UBjSnyP1O5W5ndJoO9vUk,NA
5,No More Heroes,The Stranglers,The Stranglers,No More Heroes,Original New Wave,10,2020-07-31,spotify:track:2Q7vTDvHLPGuUS5YEVHnNj,-5
174,No Way Out,The Tubes,The Tubes,No Way Out,Remote Control,5,1979-01-01,spotify:track:6zDG3IV0D8q3pi6ThoQJKz,-174
NA,Northern Lights,Renaissance,Renaissance,Northern Lights,A Song for All Seasons,7,1978-11-06,spotify:track:76GyGS1C84YBtb3qX6j5mk,NA
207,Nothing a Little Love Won't Cure,The Rubinoos,The Rubinoos,Nothing a Little Love Won't Cure,The Rubinoos,7,1977-01-01,spotify:track:40zclTmadNFa31fHmuzboA,-207
183,Nothing To Fear,New England,New England,Nothing To Fear,New England,6,1979-01-01,spotify:track:3oaKXnGIBUFCAfWHc6Li35,-183
69,Nothing to Say,Company U.K.,Company U.K.,Nothing to Say,Encore,4,2014-01-27,spotify:track:0a2gopf0hRYVvAXz9HBzyK,-69
371,Oh Caroline,Cheap Trick,Cheap Trick,Oh Caroline,In Color,6,1977-09,spotify:track:2pe3KkzSYohFQVlHdpYDka,-371
134,Oliver's Army,Elvis Costello & The Attractions,Elvis Costello & The Attractions,Oliver's Army,Armed Forces,3,1979,spotify:track:1GIV1YzfuFzYAoUjwx3r7W,-134
49,One Last Kiss - Remastered/2006,The J. Geils Band,The J. Geils Band,One Last Kiss - Remastered/2006,Best Of The J. Geils Band,6,2011-01-01,spotify:track:7mC9ztRnPVE8KFpUNhJIik,-49
275,Orgasm Addict - 2001 Remastered Version,Buzzcocks,Buzzcocks,Orgasm Addict - 2001 Remastered Version,Singles Going Steady,1,1979,spotify:track:3K6mPAaaOWaDDR0l0OjhOE,-275
100,Ouch! - 2006 Remaster,The Rutles,The Rutles,Ouch! - 2006 Remaster,The Rutles,10,1978,spotify:track:6jZHWrIbWvrNDyHcvKxgWH,-100
21,Outside Of A Small Circle Of Friends,Phil Ochs,Phil Ochs,Outside Of A Small Circle Of Friends,Pleasures Of The Harbor,3,1967,spotify:track:19nKssBmsSIBXJPZ2HrfXH,-21
18,Panama Red,New Riders of the Purple Sage,New Riders of the Purple Sage,Panama Red,The Best Of New Riders Of The Purple Sage,6,1971,spotify:track:70hZyH0RrThMYtxqv5OGYb,-18
148,Peg,Steely Dan,Steely Dan,Peg,Aja,4,1977-01-01,spotify:track:5DQAHkO9U4IZIombHefcqK,-148
398,Pin A Medal On Mary,Rachel Sweet,Rachel Sweet,Pin A Medal On Mary,Fool Around,11,1978-10-06,spotify:track:2f5gGWUbCIYcnAbjtXr6Wr,-398
