index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
101,"""B"" Movies",Fabulous Poodles,Fabulous Poodles,"""B"" Movies",Unsuitable,7,1978-10-02,spotify:track:2UBz9WaBdqjWL7ueYykUZa,-101
438,(Ain't Nothin' but A) House Party,The J. Geils Band,The J. Geils Band,(Ain't Nothin' but A) House Party,Best Of The J. Geils Band,4,1979-06-05,spotify:track:460CrLDOX6lopMGzb60GMr,NA
157,(Don't Fear) The Reaper,Blue Öyster Cult,Blue Öyster Cult,(Don't Fear) The Reaper,Agents Of Fortune,3,1976,spotify:track:5QTxFnGygVM4jFQiBovmRo,-157
266,(I Live For) Cars and Girls,The Dictators,The Dictators,(I Live For) Cars and Girls,Go Girl Crazy!,9,1975-03-29,spotify:track:0OIclmUecLQo5hyHhhLcFF,-266
81,(I Never Loved) Eva Braun,The Boomtown Rats,The Boomtown Rats,(I Never Loved) Eva Braun,A Tonic For The Troops,3,2005-01-01,spotify:track:0Za1RTPrmcg6DsZTaZvcG0,-81
231,11:59,Blondie,Blondie,11:59,Parallel Lines,7,1978-09-23,spotify:track:0yAi8iKRgy90VuNNZd3zhz,-231
NA,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,Rush,Rush,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,2112,1,1976-04-01,spotify:track:5H8xFHau0x3PI1CssO6EaX,NA
299,52 Girls,The B-52's,The B-52's,52 Girls,The B-52's,2,1979-07-11,spotify:track:0hV8cbzJubHKLSFIsBnYUo,-299
58,99,TOTO,TOTO,99,Hydra,3,1979-10-01,spotify:track:2R3E4xKmy7lyieBKONkIMT,-58
239,A.C.D.C.,Sweet,Sweet,A.C.D.C.,Desolation Boulevard,4,1974-11,spotify:track:36ezEcDyFfBC4gNVMhitzG,-239
78,Accidents Will Happen,Elvis Costello & The Attractions,Elvis Costello & The Attractions,Accidents Will Happen,Armed Forces,1,1979,spotify:track:7oR6vPgaw4QlXXmJ8IfKMg,-78
228,Across the Border,Electric Light Orchestra,Electric Light Orchestra,Across the Border,Out of the Blue,4,1977,spotify:track:1u3hy4sFcXyAwLmD6TmEnb,-228
206,Airport,The Motors,The Motors,Airport,Approved By The Motors,1,1978-01-01,spotify:track:6F0CQMioZrqgkp3oHx4hpY,-206
124,All I Want Is You,Roxy Music,Roxy Music,All I Want Is You,Country Life (Remastered),3,1974-11-01,spotify:track:1egCIlK7j1ioz15rh3BYHN,-124
435,All Mixed Up,The Cars,The Cars,All Mixed Up,The Cars,9,1978-06-06,spotify:track:35jXTF1ALlzkrS2k1B5dkF,-435
381,All My Love - 1990 Remaster,Led Zeppelin,Led Zeppelin,All My Love - 1990 Remaster,In Through the out Door (1994 Remaster),6,1979-08-15,spotify:track:6lrh9jZ1xoMwoErgPSj2rY,NA
379,All Tomorrow's Parties,The Velvet Underground,The Velvet Underground,All Tomorrow's Parties,The Velvet Underground & Nico 45th Anniversary,6,1967-03-12,spotify:track:1mL6q0gbifm2dBTvMBx4px,-379
27,Aloha Steve & Danno,Radio Birdman,Radio Birdman,Aloha Steve & Danno,The Essential Radio Birdman,1,2001-07-17,spotify:track:2n4yt6ZWeOjY31bC5U0I1j,NA
259,And the Cradle Will Rock... - 2015 Remaster,Van Halen,Van Halen,And the Cradle Will Rock... - 2015 Remaster,Women and Children First (Remastered),1,1980-03-26,spotify:track:4MM0jT9z9m7VFiusFrGJ8C,-259
199,Angels,Lene Lovich,Lene Lovich,Angels,Flex,3,2007-01-02,spotify:track:62yB0rvilEnpxQYjaxwqGk,-199
15,"Another Brick in the Wall, Pt. 2",Pink Floyd,Pink Floyd,"Another Brick in the Wall, Pt. 2",The Wall,5,1979-11-30,spotify:track:4gMgiXfqyzZLMhsksGmbQV,-15
62,Another Nail In My Heart,Squeeze,Squeeze,Another Nail In My Heart,Argybargy,2,1980,spotify:track:7c3WIsUNdaMNbQQzL1Q56l,-62
66,Anytime,Journey,Journey,Anytime,Infinity,3,1978,spotify:track:2dcskJYRu9mMVPpAGJl3Er,-66
376,Astronomy,Blue Öyster Cult,Blue Öyster Cult,Astronomy,Secret Treaties,8,1974-04-01,spotify:track:2g02rt0UFudctbAnmJsm22,-376
393,Atlanta June,Pablo Cruise,Pablo Cruise,Atlanta June,20th Century Masters: The Millennium Collection: Best of Pablo Cruise,8,2001-01-01,spotify:track:4XhEyr2qbZWSvgmlKG7Rp6,-393
61,Avenging Annie,Andy Pratt,Andy Pratt,Avenging Annie,Andy Pratt,1,2016-04-01,spotify:track:2WPx4X6CtBRYW8PIUJRdMu,-61
368,B.A.B.Y,Rachel Sweet,Rachel Sweet,B.A.B.Y,B.A.B.Y - The Best Of Rachel Sweet,1,2001,spotify:track:6duRWzzgVz50ChzhhEkO60,-368
34,Bad Time,Grand Funk Railroad,Grand Funk Railroad,Bad Time,Greatest Hits: Grand Funk Railroad (Remastered),12,2006-01-01,spotify:track:5h2XR7VWvJ7jPhbvCyuYee,-34
268,Badge,Cream,Cream,Badge,Goodbye,4,1969-03-01,spotify:track:08xsXR637CEqbxJmpFcuSA,-268
410,Bastille Day,Rush,Rush,Bastille Day,Caress Of Steel,1,1975-09-24,spotify:track:2fsFnXtYfu3xkz9QXj1pZs,-410
257,Be My Baby,The Ronettes,The Ronettes,Be My Baby,Be My Baby: The Very Best of The Ronettes,2,2011-02-22,spotify:track:2G2YzndIA6jeWFPBXhUjh5,-257
103,Beach Baby,First Class,First Class,Beach Baby,Sun Sea Sand And Sex,2,2009-05-18,spotify:track:3gOsZGaMej7EMVy6VBjxHM,-103
290,Beat on the Brat - 2016 Remaster,Ramones,Ramones,Beat on the Brat - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),2,1976-04-23,spotify:track:55mKuESqpfgqe0kooIkTH2,-290
118,Beautiful Loser - Live In Detroit/1975,Bob Seger,Bob Seger,Beautiful Loser - Live In Detroit/1975,'Live' Bullet,3,1976-04-12,spotify:track:1qRqgmMlMHxxHMLPJCTn4V,-118
98,Because the Night,Patti Smith,Patti Smith,Because the Night,Easter,3,1978,spotify:track:0lIoY4ZQsdn5QzhraM9o9u,-98
389,Before They Make Me Run - Remastered,The Rolling Stones,The Rolling Stones,Before They Make Me Run - Remastered,Some Girls,8,1978-06-09,spotify:track:4cAlWy0jWMtn5AdtZy4dHi,-389
201,Birdman Of Alcatraz,Rick Wakeman,Rick Wakeman,Birdman Of Alcatraz,Criminal Record,4,1977-01-01,spotify:track:52GZ07NCP75fm7KgkzUFWp,-201
138,Black and White,Todd Rundgren,Todd Rundgren,Black and White,Faithful,7,1976,spotify:track:2NlDLaTogggnLizEgLPvMN,-138
358,Black Flame - 2020 Remaster,Renaissance,Renaissance,Black Flame - 2020 Remaster,Turn of the Cards (Expanded & Remastered),4,1974-04-30,spotify:track:6fwTbnT96R7vOfC6oaMwRY,NA
289,Blitzkrieg Bop - 2016 Remaster,Ramones,Ramones,Blitzkrieg Bop - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),1,1976-04-23,spotify:track:4KcH1ZRV2W1q7Flq0QqC76,-289
177,Bloody Well Right,Supertramp,Supertramp,Bloody Well Right,Crime Of The Century (Remastered),2,1974-09-01,spotify:track:2SmlWvdYG6FsagxN3FkHMI,-177
43,Blue Collar Man (Long Nights),Styx,Styx,Blue Collar Man (Long Nights),Pieces Of Eight,6,1978-01-01,spotify:track:60F6ntlU0uSzgChmyQyVJP,-43
109,Blue Letter - 2017 Remaster,Fleetwood Mac,Fleetwood Mac,Blue Letter - 2017 Remaster,Fleetwood Mac (2017 Remaster),3,1975-07-11,spotify:track:2hLclTG8XLSYTUjRlv2wrK,-109
301,Blues Theme - From The Wild Angels,Davie Allan & The Arrows,Davie Allan & The Arrows,Blues Theme - From The Wild Angels,Wild Angels And Other Themes,1,1993-03-23,spotify:track:12hAeEyERydkkb1Wow1xdA,-301
415,Boogie 'Til You Puke,Root Boy Slim & The Sex Change Band,Root Boy Slim & The Sex Change Band,Boogie 'Til You Puke,Root Boy Slim & The Sex Change Band,1,1978,spotify:track:1TWjJ7TmAn2o0QGgtl5dnf,-415
405,Boom Boom (Out Go The Lights) - Live,Pat Travers Band,Pat Travers Band,Boom Boom (Out Go The Lights) - Live,Pat Travers Band...Live! Go For What You Know,4,1979-01-01,spotify:track:0SHdSdMOxZqzMWZyBrjcQM,-405
433,Born to Run,Bruce Springsteen,Bruce Springsteen,Born to Run,Born To Run,5,1975-08-25,spotify:track:6hTcuIQa0sxrrByu9wTD7s,-433
267,Bounty Hunter,Molly Hatchet,Molly Hatchet,Bounty Hunter,Molly Hatchet,1,1978,spotify:track:50d2zWUEVp9jn0EphgvdWe,-267
137,Boy Crazy,The Tubes,The Tubes,Boy Crazy,The Tubes,7,1975-01-01,spotify:track:2x1i7PKyWtdhxluSy1g1Cu,-137
271,Brass in Pocket - 2006 Remaster,Pretenders,Pretenders,Brass in Pocket - 2006 Remaster,Pretenders,10,1980-01-11,spotify:track:1QaJWSCk3UMKLotnPCIHh1,-271
150,Brick House,Commodores,Commodores,Brick House,Commodores,6,1977-01-01,spotify:track:5VJjhHyG8NZ5xdgG6uTb3P,-150
122,Brighton Rock - Remastered 2011,Queen,Queen,Brighton Rock - Remastered 2011,Sheer Heart Attack (Deluxe Remastered Version),1,1974-11-08,spotify:track:4ObxJP7kYUkBqpiklCzrBo,-122
42,Bring On The Night,The Police,The Police,Bring On The Night,Reggatta De Blanc (Remastered 2003),4,1979-10-02,spotify:track:4EkNINvDLeGgIL4zYGsYPb,-42
32,Bring on the Nubiles - 1996 Remaster,The Stranglers,The Stranglers,Bring on the Nubiles - 1996 Remaster,No More Heroes,5,1977,spotify:track:3HIgeFgEGdVpi2dQQdpbOm,-32
336,Build Me Up Buttercup,The Foundations,The Foundations,Build Me Up Buttercup,The Foundations,7,1968-01-01,spotify:track:6sPOmDulFtLzfX25zICNrC,-336
176,Call Me,Blondie,Blondie,Call Me,Call Me,1,2004-01-01,spotify:track:7HKxTNVlkHsfMLhigmhC0I,-176
341,"Call Me, Tell Me",American Flyer,American Flyer,"Call Me, Tell Me",American Flyer,11,2014-09-22,spotify:track:3vX1IATWFvN66kixEAIAT0,-341
355,Camellia,Daryl Hall & John Oates,Daryl Hall & John Oates,Camellia,Daryl Hall & John Oates,1,1975,spotify:track:1vEMEm5lvpm40P0vzyTNrz,NA
40,Can't Stand Losing You,The Police,The Police,Can't Stand Losing You,The Very Best Of Sting And The Police,2,1997-01-01,spotify:track:39ZC8fZuLGJfpoaTST7vw3,-40
73,Can't Stop Pretending,Artful Dodger,Artful Dodger,Can't Stop Pretending,Babes on Broadway,1,1977-03-01,spotify:track:1bSsTnBWQ7n1ysPXp16cgd,-73
360,Can't You See,The Marshall Tucker Band,The Marshall Tucker Band,Can't You See,Keeping The Love Alive,1,1997-01-01,spotify:track:4AlgqXQ5QA5bsNa6Nmchz7,-311
116,Can We Still Be Friends? - 2015 Remaster,Todd Rundgren,Todd Rundgren,Can We Still Be Friends? - 2015 Remaster,Hermit of Mink Hollow,2,1978,spotify:track:5MRIlJbi80rdC8mHUh5bpk,-116
413,Candy's Going Bad,The Godz,The Godz,Candy's Going Bad,The Godz,7,1978,spotify:track:4SjyAkih3FK3tbTW9snQwG,-413
154,Candy's Room,Bruce Springsteen,Bruce Springsteen,Candy's Room,Darkness On the Edge of Town,4,1978-06-02,spotify:track:19aoReRYJtOo2vWKPffECT,-154
9,Candy-O,The Cars,The Cars,Candy-O,Candy-O,6,1979,spotify:track:6tVcoaFJVBmHWctf8qC8pK,-9
NA,Carcass,Siouxsie and the Banshees,Siouxsie and the Banshees,Carcass,The Scream,4,1978-11-13,spotify:track:2OwRRgr6rGkO0qYPwkUaoN,NA
38,Catch Us If You Can - 2019 - Remaster,The Dave Clark Five,The Dave Clark Five,Catch Us If You Can - 2019 - Remaster,Having a Wild Weekend (Original Motion Picture Soundtrack) [2019 - Remaster],14,1965-01-01,spotify:track:7d91GO9HafgZuRUA2NjLTj,-38
332,Cathedral,"Crosby, Stills & Nash","Crosby, Stills & Nash",Cathedral,Greatest Hits,18,2005-03-14,spotify:track:5cWLZF2W2aMvvnMrA296TS,-332
114,Cherry - Live / 2008 Remaster,UFO,UFO,Cherry - Live / 2008 Remaster,Strangers in the Night (Live) (2008 Remaster),2,1979-01-29,spotify:track:5mvISky0K66RN8JcCkZOrF,-114
113,Cherry Baby,Starz,Starz,Cherry Baby,Violation (Expanded Edition),1,1977-05-01,spotify:track:6LZVAsCB1OEjue9kjZwdyl,-113
87,Cities On Flame with Rock and Roll,Blue Öyster Cult,Blue Öyster Cult,Cities On Flame with Rock and Roll,Blue Oyster Cult,8,1972,spotify:track:0M7oqERflkrJVHD3IAZqxo,-87
335,Classical Gas,Mason Williams,Mason Williams,Classical Gas,Rhino Hi-Five: Mason Williams,1,2005-10-18,spotify:track:48oT10cTda4pZUlYfqxlPR,-335
NA,Cleveland Rocks - 2009 Remaster,Ian Hunter,Ian Hunter,Cleveland Rocks - 2009 Remaster,You're Never Alone with a Schizophrenic (Deluxe Version),3,1979-03-27,spotify:track:5FBIJ3i1CWaZLf1VTNIh7B,NA
37,Cocaine,J.J. Cale,J.J. Cale,Cocaine,Troubadour,6,1976-09,spotify:track:6G3NoUqDpqD3Rgfel2pD6s,-37
82,Cold Ethyl,Alice Cooper,Alice Cooper,Cold Ethyl,Welcome to My Nightmare,7,1975,spotify:track:5TNFOptlMaPOvMffvVcmxA,-82
229,Come Back,The J. Geils Band,The J. Geils Band,Come Back,Love Stinks,2,1980,spotify:track:4SnovfTMzsmOnAfITyPFTP,-229
158,"Come on, Come On",Cheap Trick,Cheap Trick,"Come on, Come On",In Color,9,1977-09,spotify:track:3bMYpXiFnKhVKnLz9RHna1,-158
200,Comfortably Numb,Pink Floyd,Pink Floyd,Comfortably Numb,The Wall,6,1979-11-30,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,-200
NA,Conquistador,Procol Harum,Procol Harum,Conquistador,Procol Harum (2009 remaster),1,1967-09-01,spotify:track:2Wr1PqAw6bzMYhngpb3f96,NA
31,Constantinople,The Residents,The Residents,Constantinople,Duck Stab,1,2016-09-09,spotify:track:12hltjj9gODVp3wgvatDZ6,-31
46,County Line,Pousette-Dart Band,Pousette-Dart Band,County Line,The Best of Pousette-Dart Band,10,1994-06-29,spotify:track:1dEMgiE3ATplPWVkNGc2GI,-46
14,Cruel to Be Kind,Nick Lowe,Nick Lowe,Cruel to Be Kind,Labour of Lust,1,1979,spotify:track:7D5ycpIrqwGNTQFKmzhDIg,-14
295,Cruel To Be Kind,Ian Gomm,Ian Gomm,Cruel To Be Kind,Crazy For You,2,1996-01-01,spotify:track:39nkXj5MMwcyfVRJjXCOFA,-295
106,Dance Away,Roxy Music,Roxy Music,Dance Away,Manifesto (Remastered),8,1979-03-01,spotify:track:6BKVev5kACyEaolcJkaUbz,-106
216,Dance the Night Away - 2015 Remaster,Van Halen,Van Halen,Dance the Night Away - 2015 Remaster,Van Halen II (Remastered),2,1979-03-23,spotify:track:4RS9PmtHQe7I0o5fEeweOY,-216
345,Danny's Song,Loggins & Messina,Loggins & Messina,Danny's Song,The Best: Loggins & Messina Sittin' In Again,9,1971,spotify:track:0ju1jP0cSPJ8tmojYBEI89,-345
NA,darlin',triumvirate,NA,NA,NA,NA, , ,NA
441,Dazed and Confused - 1990 Remaster,Led Zeppelin,Led Zeppelin,Dazed and Confused - 1990 Remaster,Led Zeppelin,4,1969-01-12,spotify:track:6hu1f1cXSw7OAqhpSQ2zDy,-441
192,Desire (Please Don't Turn Away),The J. Geils Band,The J. Geils Band,Desire (Please Don't Turn Away),Love Stinks,8,1980,spotify:track:0mWofEfE3jJbSLWCAiBh8p,-192
430,Desperado - 2013 Remaster,Eagles,Eagles,Desperado - 2013 Remaster,Desperado (2013 Remaster),5,1973,spotify:track:2TjnCxxQRYn56Ye8gkUKiW,-430
318,Destroying the Phone,Ringtone Records,Ringtone Records,Destroying the Phone,Grumpy Guy and the Phone Ringtone Album,9,2012-11-01,spotify:track:5LVlSCKpKl7MRHOFoEGUx6,-318
412,Destruction,FM,FM,Destruction,Surveillance,9,2013-04-29,spotify:track:25O6MSJ22sePqWodaq4v9y,-412
182,Determination,Todd Rundgren,Todd Rundgren,Determination,Hermit of Mink Hollow,6,1978,spotify:track:6gTG2wkf1P2n0JqEvaOO8I,-182
88,Detroit Breakdown,The J. Geils Band,The J. Geils Band,Detroit Breakdown,Best Of The J. Geils Band,5,1979-06-05,spotify:track:3PNdIqIoqS8CB1zwU8UxKX,-88
172,Diamonds and Rust,Judas Priest,Judas Priest,Diamonds and Rust,Sin After Sin,2,1977-11-15,spotify:track:2Z17Q91PB11tzkDh0QQtd6,-172
407,Discovering Japan,Graham Parker & The Rumour,Graham Parker & The Rumour,Discovering Japan,Squeezing Out Sparks,1,1979-01-01,spotify:track:3EDiesXhJp7u7HOAxGQG50,-407
202,Do It Again,Steely Dan,Steely Dan,Do It Again,Can't Buy A Thrill,1,1972-01-01,spotify:track:2BstRQGodshjGpeDGQiNgo,-202
190,Do You Believe I Love You,Carolyne Mas,Carolyne Mas,Do You Believe I Love You,Carolyne Mas,8,2018-02-27,spotify:track:7uPDSyFZQi9RHNg3qUCE5d,-190
263,Do You Remember Rock and Roll Radio?,Ramones,Ramones,Do You Remember Rock and Roll Radio?,Mania,3,1988-05-31,spotify:track:6hGMlZMkzZ2pvKB0P9UDaf,-263
130,Dominance and Submission,Blue Öyster Cult,Blue Öyster Cult,Dominance and Submission,Secret Treaties,3,1974-04-01,spotify:track:4cOqjEZyN13voCKivT0ae2,-130
115,Don't Ever Say Goodbye,Rick Derringer,Rick Derringer,Don't Ever Say Goodbye,"The Best Of Rick Derringer: Rock And Roll, Hoochie Koo",14,1996,spotify:track:4b0zEcXuhDlIPmJBoDhose,-115
356,Don't Hang Up,10cc,10cc,Don't Hang Up,How Dare You,9,1976,spotify:track:12MO0L4juj6Lc8ZVTYx0yI,-356
165,Don't Stop Loving Me,Rick Derringer,Rick Derringer,Don't Stop Loving Me,Sweet Evil (Bonus Track),1,1977-02-01,spotify:track:4MxzAQAwdORElRVnPzJ1a1,-165
304,Don't Touch Me There,The Tubes,The Tubes,Don't Touch Me There,Young And Rich,5,1976-01-01,spotify:track:47khefI5yEHStaBNhu4GUb,-304
431,Down to the Wire (Remastered),Michael Stanley Band,Michael Stanley Band,Down to the Wire (Remastered),Greatest Hints (Remastered),4,1992,spotify:track:2NauRe2h4twS4dA5Re0yfe,-431
363,Dreaming,Blondie,Blondie,Dreaming,Eat To The Beat,1,1979-09-28,spotify:track:2Rn7bVL1FVYboc4c55RUdg,-363
35,Drive All Night,Elliott Murphy,Elliott Murphy,Drive All Night,Just a Story from America,1,1977-02-01,spotify:track:7jP2vb4ZxaNWe6qmCfoClb,-35
284,Drive the Cold Winter Away,Horslips,Horslips,Drive the Cold Winter Away,Ring Christmas Bells,5,2013-12-13,spotify:track:0XD8mVBqnyPe4qWvLewA3C,-284
397,Driver's Seat,Sniff 'n' The Tears,Sniff 'n' The Tears,Driver's Seat,The Best of Sniff 'n' the Tears,1,1999-01-01,spotify:track:6mYxkv8dzrRzno1AwtZWZl,-397
89,Drivin' Sister,Mott The Hoople,Mott The Hoople,Drivin' Sister,Mott (Expanded Edition),6,1973,spotify:track:4mcXdd6tAKZ2AV4TeOyCX8,-89
411,Drivin' Wheel,Foghat,Foghat,Drivin' Wheel,Blues & Rock,12,2020-07-31,spotify:track:6hTu88ZuTc8Tybv0yBP5z4,-411
147,Editions Of You,Roxy Music,Roxy Music,Editions Of You,For Your Pleasure (Remastered),4,1973-03-01,spotify:track:3v8m161sv4NBY5QpM6ZdNY,-147
250,Eleventh Earl of Mar,Genesis,Genesis,Eleventh Earl of Mar,Wind & Wuthering,1,1976-12-27,spotify:track:68XW0RSoGt3TWxPiwhwzs6,-250
196,Elstree,The Buggles,The Buggles,Elstree,The Age Of Plastic,6,1980-01-10,spotify:track:5nvLGQApZ2ly9Ngn0BKbeW,-196
337,Every Time I Think of You,The Babys,The Babys,Every Time I Think of You,Head First,2,1978-01-01,spotify:track:76fFzThA0KjAea2BdVlHnD,-337
280,Fade Away And Radiate,Blondie,Blondie,Fade Away And Radiate,Parallel Lines,4,1978-09-23,spotify:track:7APz1pnCEsvfMhJpnXcfl8,-280
121,Feel Your Love Tonight - 2015 Remaster,Van Halen,Van Halen,Feel Your Love Tonight - 2015 Remaster,Van Halen (Remastered),8,1978-02-10,spotify:track:2fZTVlNbTrOAt05ohKJ3ym,-121
65,Feeling That Way,Journey,Journey,Feeling That Way,Infinity,2,1978,spotify:track:3WuG6JfzTUHTKwvvKT51zI,-65
340,Feels Like Yesterday - Demo Version,Prism Covers Band,Prism Covers Band,Feels Like Yesterday - Demo Version,Feels Like Yesterday (Demo Version),1,2020-04-14,spotify:track:1sFhlCdP1hS0wgNucVz2Nw,-340
68,Fins,Jimmy Buffett,Jimmy Buffett,Fins,Songs You Know By Heart,3,1985-01-01,spotify:track:4h0gZ422QxBRdTV14u0P8y,-68
392,Fire,The Pointer Sisters,The Pointer Sisters,Fire,Energy (Expanded Edition),7,1978,spotify:track:65lHwG8JFJs67PnOUhCYPq,-392
269,Fire (Santa Dog),The Residents,The Residents,Fire (Santa Dog),80 Aching Orphans: 45 Years Of The Residents 4cd Hardback Book Anthology Set,1,2017-10-13,spotify:track:4FadjoEqtHpte2vaYhLCTg,-269
NA,Fire and Rain - 2019 Remaster,James Taylor,James Taylor,Fire and Rain - 2019 Remaster,Sweet Baby James (2019 Remaster),7,1970-02-01,spotify:track:1oht5GevPN9t1T3kG1m1GO,NA
74,Fire And Water,Free,Free,Fire And Water,Fire And Water,1,1970-06-26,spotify:track:5jK9iJEBgHMQePlRukmnts,-74
16,Fire on the Mountain,The Marshall Tucker Band,The Marshall Tucker Band,Fire on the Mountain,Searchin' for a Rainbow,1,1975-08-01,spotify:track:4delgtiKX7L3nsbC0exhCS,-16
285,Fly By Night,Rush,Rush,Fly By Night,Fly By Night,5,1975-02-15,spotify:track:54TaGh2JKs1pO9daXNXI5q,-285
221,Fool for the City,Foghat,Foghat,Fool for the City,Fool for the City,1,1975,spotify:track:2SUg1AhsYsHUz4xzNlMnBQ,-221
436,For Your Love - 2018 Remaster,Fleetwood Mac,Fleetwood Mac,For Your Love - 2018 Remaster,50 Years - Don't Stop,24,2018-11-16,spotify:track:0m8FPvtqX1SkWp2hgiXD8v,-436
234,Forget About You,The Motors,The Motors,Forget About You,Approved By The Motors,3,1978-01-01,spotify:track:44st0VUm4EZiJZURriALxo,-234
53,Freedom at Point Zero,Jefferson Starship,Jefferson Starship,Freedom at Point Zero,Freedom At Point Zero,9,1979-11-01,spotify:track:2oRXWD4ZK1RkHkmqvStz6r,-53
219,Freedom Fighters,Utopia,Utopia,Freedom Fighters,Todd Rundgren's Utopia,3,1974,spotify:track:0CFiz8c0doEo3UFWY8AJQn,-219
179,Full Moon Man,Grace Slick,Grace Slick,Full Moon Man,Dreams,7,1980-03-18,spotify:track:1DAtS0UnOC3dKGDaHEluJY,-179
252,Games People Play,The Spinners,The Spinners,Games People Play,Pick of the Litter,7,1975,spotify:track:53R01ylELwpQO5TBZdqKsM,-252
214,Garden of Man,Grace Slick,Grace Slick,Garden of Man,Dreams,9,1980-03-18,spotify:track:5z8BVQDFRMELNZKv6WpY9O,-214
369,Get Ready For Love - Remastered,April Wine,April Wine,Get Ready For Love - Remastered,Classic Masters,2,2002-01-01,spotify:track:5S5fKzDXqXcHZgS1ArHDll,-369
254,Girl's Talk,Linda Ronstadt,Linda Ronstadt,Girl's Talk,Mad Love,9,1980,spotify:track:5odTKsQUY4a7TrYeZBB0Ig,-254
220,Girls,Los Invaders,Los Invaders,Girls,Girls,1,2020-02-14,spotify:track:5UtVlHDWRTmZFrLJMixrTk,-220
52,Girls Talk,Dave Edmunds,Dave Edmunds,Girls Talk,Repeat When Necessary,1,2020-05-15,spotify:track:5UBq9iGT7lfpibWr7KKqKe,-52
391,Give Me An Inch,Robert Palmer,Robert Palmer,Give Me An Inch,Pressure Drop,1,1975-01-01,spotify:track:6c9DEGj7hB56QhSxhYmRpH,-391
286,Gnostic Serenade,Tom Rush,Tom Rush,Gnostic Serenade,Wrong End Of The Rainbow,10,1970,spotify:track:3A41kUjSU5V4hDKhvpHqVv,-286
NA,Go All The Way,Raspberries,Raspberries,Go All The Way,Raspberries,1,1972,spotify:track:75GQIYnRaBg7ndHxhfYuQy,NA
243,Guests of the Nation,Horslips,Horslips,Guests of the Nation,"Short Stories, Tall Tales (Bonus Tracks Version)",1,2011-03-11,spotify:track:2ata9dLRciV1DojXyKcFSF,-243
26,Hawaii Five-O,The Ventures,The Ventures,Hawaii Five-O,Hawaii Five-O,1,1969,spotify:track:3UUwbJd2j4RORlalTUhaDk,-26
77,Head First,The Babys,The Babys,Head First,Head First,6,1978-01-01,spotify:track:1stFVE7xE8t4Xz21IoT6Tb,-77
104,Heat Wave,Linda Ronstadt,Linda Ronstadt,Heat Wave,Prisoner in Disguise,6,1975,spotify:track:3OwoQ968t9qJXYxFk7DCvu,-104
338,Hello It's Me,Todd Rundgren,Todd Rundgren,Hello It's Me,Something / Anything?,22,1972,spotify:track:3gHFKiDanj4d2rqgHlRFFc,-338
362,"Hello, Hello, Hello",New England,New England,"Hello, Hello, Hello",New England,1,1979-01-01,spotify:track:2rPOxYsjva5XKuKM4s3Y5Y,-362
322,Here Comes My Girl,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,Here Comes My Girl,Damn The Torpedoes (Deluxe Edition),2,1979-10-19,spotify:track:685sEpLJe80Zzuxz3siOVT,-322
354,"Hey Hey, My My (Into the Black) - 2016 Remaster",Neil Young,Neil Young,"Hey Hey, My My (Into the Black) - 2016 Remaster",Rust Never Sleeps,9,1979-06-27,spotify:track:5sy3FriCrKYGJp6JBOnlOo,-354
422,Hide In Your Shell - Remastered,Supertramp,Supertramp,Hide In Your Shell - Remastered,Crime Of The Century (Deluxe),3,1974-09-01,spotify:track:0ldE7rHWykc9OUViCzdviV,-422
208,High School History,Cindy Bullens,Cindy Bullens,High School History,Desire Wire,5,1978-08-01,spotify:track:4pkyy6I8AT5kmThL6Lr9J1,-208
55,Highway Song,Blackfoot,Blackfoot,Highway Song,Strikes,10,1979,spotify:track:0R5nPSbAqQoNjKBByWnN95,-55
244,Highway to Hell,AC/DC,AC/DC,Highway to Hell,Highway to Hell,1,1979-07-27,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,-244
217,Hold Your Fire (Remastered),Michael Stanley Band,Michael Stanley Band,Hold Your Fire (Remastered),Greatest Hints (Remastered),9,1992,spotify:track:0GtyJEbZnKeYdq2Za39au3,-217
317,Hot Patootie (Bless My Soul),The Rocky Horror Show Original Cast,The Rocky Horror Show Original Cast,Hot Patootie (Bless My Soul),Let's Do The Time Warp Again!,8,2006-11-27,spotify:track:6Ga584DDPJ4GNo6EgiDYkw,-317
110,I'll Be Waiting,Horslips,Horslips,I'll Be Waiting,The Man Who Built America (Bonus Tracks Version),3,2009-08-21,spotify:track:5j9sNs8X4EhYsnQtEpWYaM,-110
132,I'm a Believer,Tin Huey,Tin Huey,I'm a Believer,Contents Dislodged During Shipment,1,1979-03-02,spotify:track:7up1vlUjVNIPzQd9HU7pFL,-132
429,I've Never Been in Love,Suzi Quatro,Suzi Quatro,I've Never Been in Love,The Wild One: The Greatest Hits,16,1990-05-08,spotify:track:67RJNtbJ5YMOMOM9kfhhGM,-429
