play order,title,artist,track.external_urls.spotify,track.duration_ms,track.popularity,track.track_number,track.uri,track.album.name,track.album.release_date
200,Nothing a Little Love Won't Cure,The Rubinoos,https://open.spotify.com/track/40zclTmadNFa31fHmuzboA,163000,4,7,spotify:track:40zclTmadNFa31fHmuzboA,The Rubinoos,1977-01-01
201,High School History,Cindy Bullens,https://open.spotify.com/track/4pkyy6I8AT5kmThL6Lr9J1,255620,1,5,spotify:track:4pkyy6I8AT5kmThL6Lr9J1,Desire Wire,1978-08-01
202,You Make Loving Fun - 2004 Remaster,Fleetwood Mac,https://open.spotify.com/track/55mQhobuwtY7lfLAXylg1k,216626,61,8,spotify:track:55mQhobuwtY7lfLAXylg1k,Rumours (Super Deluxe),1977-02-04
203,I Played the Fool - 2016 Remaster,Southside Johnny And The Asbury Jukes,https://open.spotify.com/track/2jGFLCf5NeOMTXkHeiu03i,202160,19,3,spotify:track:2jGFLCf5NeOMTXkHeiu03i,Hearts of Stone (Remastered),1978-01-01
204,Jean Cocteau - 2019 Remaster,Be Bop Deluxe,https://open.spotify.com/track/5ts1ri8zRo52zT1iXpL4ZZ,172893,10,7,spotify:track:5ts1ri8zRo52zT1iXpL4ZZ,Futurama (Remastered & Expanded),1975-05-17
205,Love of the Common Man,Todd Rundgren,https://open.spotify.com/track/2DcPccXuyphsJ7fC955j5x,219360,22,9,spotify:track:2DcPccXuyphsJ7fC955j5x,The Very Best of Todd Rundgren,1997-07-29
206,Crime Wave,Prism,,,,,,,
207,Garden of Man,Grace Slick,https://open.spotify.com/track/5z8BVQDFRMELNZKv6WpY9O,393066,11,9,spotify:track:5z8BVQDFRMELNZKv6WpY9O,Dreams,1980-03-18
208,Rosalita (Come Out Tonight),Bruce Springsteen,https://open.spotify.com/track/4Z80C8NlDd1AO4axf1O3n0,420840,54,6,spotify:track:4Z80C8NlDd1AO4axf1O3n0,"The Wild, the Innocent & The E Street Shuffle",1973-09-11
209,Dance the Night Away - 2015 Remaster,Van Halen,https://open.spotify.com/track/4RS9PmtHQe7I0o5fEeweOY,188083,60,2,spotify:track:4RS9PmtHQe7I0o5fEeweOY,Van Halen II (Remastered),1979-03-23
210,Hold Your Fire (Remastered),Michael Stanley Band,https://open.spotify.com/track/0GtyJEbZnKeYdq2Za39au3,263000,4,9,spotify:track:0GtyJEbZnKeYdq2Za39au3,Greatest Hints (Remastered),1992
211,Last of the New Wave Riders,Utopia,https://open.spotify.com/track/5aytDoq4pDJ06xjx6tlrT4,262400,12,6,spotify:track:5aytDoq4pDJ06xjx6tlrT4,Adventures In Utopia,1980
212,Freedom Fighters,Utopia,https://open.spotify.com/track/0CFiz8c0doEo3UFWY8AJQn,244733,14,3,spotify:track:0CFiz8c0doEo3UFWY8AJQn,Todd Rundgren's Utopia,1974
213,girls in action,invaders,,,,,,,
214,Fool for the City,Foghat,https://open.spotify.com/track/2SUg1AhsYsHUz4xzNlMnBQ,271853,45,1,spotify:track:2SUg1AhsYsHUz4xzNlMnBQ,Fool for the City,1975
215,The Only One of You,Urban Verbs,https://open.spotify.com/track/5CRS2cQPg84RAkxU52wd7e,290546,5,6,spotify:track:5CRS2cQPg84RAkxU52wd7e,Urban Verbs,1980
216,The Plastic Age,The Buggles,https://open.spotify.com/track/5fmPJfCYIJfyWwRb8cfgYQ,308306,27,1,spotify:track:5fmPJfCYIJfyWwRb8cfgYQ,The Age Of Plastic,1980-01-10
217,Video Killed The Radio Star,The Buggles,https://open.spotify.com/track/6t1FIJlZWTQfIZhsGjaulM,253800,64,2,spotify:track:6t1FIJlZWTQfIZhsGjaulM,The Age Of Plastic,1980-01-10
218,Run Like Hell,Pink Floyd,https://open.spotify.com/track/0EaLRxrtnq7Mqhdf8q9txr,263573,60,9,spotify:track:0EaLRxrtnq7Mqhdf8q9txr,The Wall,1979-11-30
219,The Vigil,Blue Öyster Cult,https://open.spotify.com/track/67HDsZrr3273j4Sv9bxFxZ,388080,31,6,spotify:track:67HDsZrr3273j4Sv9bxFxZ,Mirrors,1979
220,Across the Border,Electric Light Orchestra,https://open.spotify.com/track/1u3hy4sFcXyAwLmD6TmEnb,233800,43,4,spotify:track:1u3hy4sFcXyAwLmD6TmEnb,Out of the Blue,1977
221,Come Back,The J. Geils Band,https://open.spotify.com/track/4SnovfTMzsmOnAfITyPFTP,312600,36,2,spotify:track:4SnovfTMzsmOnAfITyPFTP,Love Stinks,1980
222,Sad Songs,The Rockets,https://open.spotify.com/track/6HiJYRfb7COTBAeUvmOge7,201961,2,7,spotify:track:6HiJYRfb7COTBAeUvmOge7,No Ballads,1979
223,11:59,Blondie,https://open.spotify.com/track/0yAi8iKRgy90VuNNZd3zhz,200864,32,7,spotify:track:0yAi8iKRgy90VuNNZd3zhz,Parallel Lines,1978-09-23
224,My Clone Sleeps Alone,Pat Benatar,https://open.spotify.com/track/05XisbzzpAlfISLZHZAVdZ,215906,24,5,spotify:track:05XisbzzpAlfISLZHZAVdZ,In The Heat Of The Night,1979-01-01
